상호,주소,1등_배출횟수,구글맵링크
영남통상,경북 성주군 성주로 3228,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%84%B1%EC%A3%BC%EA%B5%B0%20%EC%84%B1%EC%A3%BC%EB%A1%9C%203228
청솔마트,서울 동대문구 용두동 727-4,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%9A%A9%EB%91%90%EB%8F%99%20727-4
행운마트,인천 부평구 배곶남로9번길 4,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%B6%80%ED%8F%89%EA%B5%AC%20%EB%B0%B0%EA%B3%B6%EB%82%A8%EB%A1%9C9%EB%B2%88%EA%B8%B8%204
아름다운슈퍼,경기 시흥시 도일로 136,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%8B%9C%ED%9D%A5%EC%8B%9C%20%EB%8F%84%EC%9D%BC%EB%A1%9C%20136
인덕원가판점,경기 안양시 동안구 관양2동 1488-6,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%95%88%EC%96%91%EC%8B%9C%20%EB%8F%99%EC%95%88%EA%B5%AC%20%EA%B4%80%EC%96%912%EB%8F%99%201488-6
압구정로또,서울 강남구 삼성동 112위드미,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20112%EC%9C%84%EB%93%9C%EB%AF%B8
동서울산업,서울 광진구 구의동 546-1보도상앞구두수선대-18(광진구청장허가),2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B5%AC%EC%9D%98%EB%8F%99%20546-1%EB%B3%B4%EB%8F%84%EC%83%81%EC%95%9E%EA%B5%AC%EB%91%90%EC%88%98%EC%84%A0%EB%8C%80-18%28%EA%B4%91%EC%A7%84%EA%B5%AC%EC%B2%AD%EC%9E%A5%ED%97%88%EA%B0%80%29
버스가판대,경기 성남시 중원구 성남대로 1144,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%84%B1%EB%82%A8%EC%8B%9C%20%EC%A4%91%EC%9B%90%EA%B5%AC%20%EC%84%B1%EB%82%A8%EB%8C%80%EB%A1%9C%201144
토큰박스(서문5지구),대구 중구 큰장로26길 5,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EC%A4%91%EA%B5%AC%20%ED%81%B0%EC%9E%A5%EB%A1%9C26%EA%B8%B8%205
꽃돼지복권,대전 동구 계족로 194-1,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EB%8F%99%EA%B5%AC%20%EA%B3%84%EC%A1%B1%EB%A1%9C%20194-1
잠실연쇄점,서울 송파구 잠실동 242-17,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EC%9E%A0%EC%8B%A4%EB%8F%99%20242-17
복권방,인천 연수구 랜드마크로 20 판매시설동 159호 일부,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EC%97%B0%EC%88%98%EA%B5%AC%20%EB%9E%9C%EB%93%9C%EB%A7%88%ED%81%AC%EB%A1%9C%2020%20%ED%8C%90%EB%A7%A4%EC%8B%9C%EC%84%A4%EB%8F%99%20159%ED%98%B8%20%EC%9D%BC%EB%B6%80
복권나라,강원 속초시 중앙로 28,2,https://www.google.com/maps/search/?api=1&query=%EA%B0%95%EC%9B%90%20%EC%86%8D%EC%B4%88%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%2028
요술상자,경기 평택시 평택3로 109 동일건물내 이전,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%8F%89%ED%83%9D%EC%8B%9C%20%ED%8F%89%ED%83%9D3%EB%A1%9C%20109%20%EB%8F%99%EC%9D%BC%EA%B1%B4%EB%AC%BC%EB%82%B4%20%EC%9D%B4%EC%A0%84
에이스로또,전남 여수시 여서로 154 참마트내,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%82%A8%20%EC%97%AC%EC%88%98%EC%8B%9C%20%EC%97%AC%EC%84%9C%EB%A1%9C%20154%20%EC%B0%B8%EB%A7%88%ED%8A%B8%EB%82%B4
가판점,경기 군포시 군포로 541-2 인도 앞 가판대,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B5%B0%ED%8F%AC%EC%8B%9C%20%EA%B5%B0%ED%8F%AC%EB%A1%9C%20541-2%20%EC%9D%B8%EB%8F%84%20%EC%95%9E%20%EA%B0%80%ED%8C%90%EB%8C%80
복권전문점,경기 수원시 팔달구 매산로 17 1층 우측,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%ED%8C%94%EB%8B%AC%EA%B5%AC%20%EB%A7%A4%EC%82%B0%EB%A1%9C%2017%201%EC%B8%B5%20%EC%9A%B0%EC%B8%A1
천하명당복권방동소문점,서울 성북구 동소문로2길 13,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EB%8F%99%EC%86%8C%EB%AC%B8%EB%A1%9C2%EA%B8%B8%2013
행운복권,경기 성남시 중원구 시민로 121 (성남동),2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%84%B1%EB%82%A8%EC%8B%9C%20%EC%A4%91%EC%9B%90%EA%B5%AC%20%EC%8B%9C%EB%AF%BC%EB%A1%9C%20121%20%28%EC%84%B1%EB%82%A8%EB%8F%99%29
복권일번지,경북 상주시 중앙로 256,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%83%81%EC%A3%BC%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20256
GS25(서초금호),서울 서초구 서초동 1689-1,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%84%9C%EC%B4%88%EB%8F%99%201689-1
로또복권방,경기 가평군 가평읍 읍내리 448-3,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B0%80%ED%8F%89%EA%B5%B0%20%EA%B0%80%ED%8F%89%EC%9D%8D%20%EC%9D%8D%EB%82%B4%EB%A6%AC%20448-3
럭키로또방,경기 수원시 영통구 센트럴타운로 15 아이플렉스104호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%98%81%ED%86%B5%EA%B5%AC%20%EC%84%BC%ED%8A%B8%EB%9F%B4%ED%83%80%EC%9A%B4%EB%A1%9C%2015%20%EC%95%84%EC%9D%B4%ED%94%8C%EB%A0%89%EC%8A%A4104%ED%98%B8
복권마을,경기 안양시 동안구 흥안대로133번길 4 제1동 제1층 제104호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%95%88%EC%96%91%EC%8B%9C%20%EB%8F%99%EC%95%88%EA%B5%AC%20%ED%9D%A5%EC%95%88%EB%8C%80%EB%A1%9C133%EB%B2%88%EA%B8%B8%204%20%EC%A0%9C1%EB%8F%99%20%EC%A0%9C1%EC%B8%B5%20%EC%A0%9C104%ED%98%B8
삼성24시편의점,강원 원주시 원일로 162 1층,2,https://www.google.com/maps/search/?api=1&query=%EA%B0%95%EC%9B%90%20%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EC%9B%90%EC%9D%BC%EB%A1%9C%20162%201%EC%B8%B5
조은복권방,울산 남구 수암로 128-1 1층,2,https://www.google.com/maps/search/?api=1&query=%EC%9A%B8%EC%82%B0%20%EB%82%A8%EA%B5%AC%20%EC%88%98%EC%95%94%EB%A1%9C%20128-1%201%EC%B8%B5
현텔레콤,전북 전주시 덕진구 두간로 6 1층 101호,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%A0%84%EC%A3%BC%EC%8B%9C%20%EB%8D%95%EC%A7%84%EA%B5%AC%20%EB%91%90%EA%B0%84%EB%A1%9C%206%201%EC%B8%B5%20101%ED%98%B8
복권판매점,경북 경산시 하양로 65,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EA%B2%BD%EC%82%B0%EC%8B%9C%20%ED%95%98%EC%96%91%EB%A1%9C%2065
제일복권,부산 서구 충무대로 35-1 1층 복권방,2,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%84%9C%EA%B5%AC%20%EC%B6%A9%EB%AC%B4%EB%8C%80%EB%A1%9C%2035-1%201%EC%B8%B5%20%EB%B3%B5%EA%B6%8C%EB%B0%A9
로또명당상동점,경기 부천시 송내대로265번길 17 효성프라자108호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EB%B6%80%EC%B2%9C%EC%8B%9C%20%EC%86%A1%EB%82%B4%EB%8C%80%EB%A1%9C265%EB%B2%88%EA%B8%B8%2017%20%ED%9A%A8%EC%84%B1%ED%94%84%EB%9D%BC%EC%9E%90108%ED%98%B8
로또24시편의점,경기 안산시 단원구 달미로 85 1층101호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%95%88%EC%82%B0%EC%8B%9C%20%EB%8B%A8%EC%9B%90%EA%B5%AC%20%EB%8B%AC%EB%AF%B8%EB%A1%9C%2085%201%EC%B8%B5101%ED%98%B8
Lotto복권,강원 춘천시 퇴계동 667 7B3L(패밀리마트내),2,https://www.google.com/maps/search/?api=1&query=%EA%B0%95%EC%9B%90%20%EC%B6%98%EC%B2%9C%EC%8B%9C%20%ED%87%B4%EA%B3%84%EB%8F%99%20667%207B3L%28%ED%8C%A8%EB%B0%80%EB%A6%AC%EB%A7%88%ED%8A%B8%EB%82%B4%29
예인기획,경기 화성시 3.1만세로 1127,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%99%94%EC%84%B1%EC%8B%9C%203.1%EB%A7%8C%EC%84%B8%EB%A1%9C%201127
올인로또복권,전북 전주시 완산구 효자동2가 203-5 코끼리마트 상가 내,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%A0%84%EC%A3%BC%EC%8B%9C%20%EC%99%84%EC%82%B0%EA%B5%AC%20%ED%9A%A8%EC%9E%90%EB%8F%992%EA%B0%80%20203-5%20%EC%BD%94%EB%81%BC%EB%A6%AC%EB%A7%88%ED%8A%B8%20%EC%83%81%EA%B0%80%20%EB%82%B4
노다지,서울 성북구 하월곡동 80-23,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99%2080-23
화정역 4번출구,경기 고양시 덕양구 화정로 53 새롬프라자1층 112호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EB%8D%95%EC%96%91%EA%B5%AC%20%ED%99%94%EC%A0%95%EB%A1%9C%2053%20%EC%83%88%EB%A1%AC%ED%94%84%EB%9D%BC%EC%9E%901%EC%B8%B5%20112%ED%98%B8
대박로또복권,경기 김포시 김포대로 2449,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%EA%B9%80%ED%8F%AC%EB%8C%80%EB%A1%9C%202449
봉암마트,경남 창원시 마산합포구 합포로 126-1 1층,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%B0%BD%EC%9B%90%EC%8B%9C%20%EB%A7%88%EC%82%B0%ED%95%A9%ED%8F%AC%EA%B5%AC%20%ED%95%A9%ED%8F%AC%EB%A1%9C%20126-1%201%EC%B8%B5
드림로또,대구 북구 침산로 153 상가 103동 B2호,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%B6%81%EA%B5%AC%20%EC%B9%A8%EC%82%B0%EB%A1%9C%20153%20%EC%83%81%EA%B0%80%20103%EB%8F%99%20B2%ED%98%B8
복권천국,전남 목포시 비파로 29 복권천국,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%82%A8%20%EB%AA%A9%ED%8F%AC%EC%8B%9C%20%EB%B9%84%ED%8C%8C%EB%A1%9C%2029%20%EB%B3%B5%EA%B6%8C%EC%B2%9C%EA%B5%AD
복권방,인천 남동구 백범로 123 cu편의점,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%82%A8%EB%8F%99%EA%B5%AC%20%EB%B0%B1%EB%B2%94%EB%A1%9C%20123%20cu%ED%8E%B8%EC%9D%98%EC%A0%90
돈벼락맞는곳,경남 김해시 한림면 병동리 980-7,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EA%B9%80%ED%95%B4%EC%8B%9C%20%ED%95%9C%EB%A6%BC%EB%A9%B4%20%EB%B3%91%EB%8F%99%EB%A6%AC%20980-7
대박마트,인천 남동구 호구포로 219 세중프라자1층101-2호,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%82%A8%EB%8F%99%EA%B5%AC%20%ED%98%B8%EA%B5%AC%ED%8F%AC%EB%A1%9C%20219%20%EC%84%B8%EC%A4%91%ED%94%84%EB%9D%BC%EC%9E%901%EC%B8%B5101-2%ED%98%B8
행운로또복권방,전남 광양시 대림오성로 146-1,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%82%A8%20%EA%B4%91%EC%96%91%EC%8B%9C%20%EB%8C%80%EB%A6%BC%EC%98%A4%EC%84%B1%EB%A1%9C%20146-1
굿-7,부산 수영구 광안로 49,2,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%88%98%EC%98%81%EA%B5%AC%20%EA%B4%91%EC%95%88%EB%A1%9C%2049
로또복권,경기 평택시 조개터로 17 1층 1호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%8F%89%ED%83%9D%EC%8B%9C%20%EC%A1%B0%EA%B0%9C%ED%84%B0%EB%A1%9C%2017%201%EC%B8%B5%201%ED%98%B8
금도깨비복권전문점,경기 김포시 월하로 721,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%EC%9B%94%ED%95%98%EB%A1%9C%20721
대박복권방,경기 안산시 단원구 신길중앙로1길 40 101호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%95%88%EC%82%B0%EC%8B%9C%20%EB%8B%A8%EC%9B%90%EA%B5%AC%20%EC%8B%A0%EA%B8%B8%EC%A4%91%EC%95%99%EB%A1%9C1%EA%B8%B8%2040%20101%ED%98%B8
역전식품,인천 남구 도화동 80-83,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%82%A8%EA%B5%AC%20%EB%8F%84%ED%99%94%EB%8F%99%2080-83
행운복권방,경기 수원시 권선구 구운동 493-16,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EA%B6%8C%EC%84%A0%EA%B5%AC%20%EA%B5%AC%EC%9A%B4%EB%8F%99%20493-16
대박가판장,서울 강동구 양재대로 1627 가판점,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%96%91%EC%9E%AC%EB%8C%80%EB%A1%9C%201627%20%EA%B0%80%ED%8C%90%EC%A0%90
문덕대박로또,경북 포항시 남구 오천읍 문덕리 문덕리 176-7,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%82%A8%EA%B5%AC%20%EC%98%A4%EC%B2%9C%EC%9D%8D%20%EB%AC%B8%EB%8D%95%EB%A6%AC%20%EB%AC%B8%EB%8D%95%EB%A6%AC%20176-7
ANY25,서울 종로구 창경궁로 137 1층,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%B0%BD%EA%B2%BD%EA%B6%81%EB%A1%9C%20137%201%EC%B8%B5
현진식품,서울 구로구 고척1동 52-346,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B3%A0%EC%B2%991%EB%8F%99%2052-346
코리아마트,대구 달서구 당산로 193,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8B%AC%EC%84%9C%EA%B5%AC%20%EB%8B%B9%EC%82%B0%EB%A1%9C%20193
한성슈퍼,전북 익산시 익산대로 52,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%9D%B5%EC%82%B0%EC%8B%9C%20%EC%9D%B5%EC%82%B0%EB%8C%80%EB%A1%9C%2052
바른손(퇴계점),강원 춘천시 퇴계로 168 주공2단지상가101호,2,https://www.google.com/maps/search/?api=1&query=%EA%B0%95%EC%9B%90%20%EC%B6%98%EC%B2%9C%EC%8B%9C%20%ED%87%B4%EA%B3%84%EB%A1%9C%20168%20%EC%A3%BC%EA%B3%B52%EB%8B%A8%EC%A7%80%EC%83%81%EA%B0%80101%ED%98%B8
로또판매점,인천 부평구 안남로 279,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%B6%80%ED%8F%89%EA%B5%AC%20%EC%95%88%EB%82%A8%EB%A1%9C%20279
로또명당,경남 창원시 마산합포구 문화동13길 17,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%B0%BD%EC%9B%90%EC%8B%9C%20%EB%A7%88%EC%82%B0%ED%95%A9%ED%8F%AC%EA%B5%AC%20%EB%AC%B8%ED%99%94%EB%8F%9913%EA%B8%B8%2017
인생역전로또방,대전 유성구 송강동 16-2번지 103호,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EC%9C%A0%EC%84%B1%EA%B5%AC%20%EC%86%A1%EA%B0%95%EB%8F%99%2016-2%EB%B2%88%EC%A7%80%20103%ED%98%B8
천하명당관악점,서울 관악구 보라매로2길 11,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C2%EA%B8%B8%2011
서울복권방,경기 동두천시 어수로 116,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C%20116
황금당,전남 강진군 중앙로 95 황금당,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%82%A8%20%EA%B0%95%EC%A7%84%EA%B5%B0%20%EC%A4%91%EC%95%99%EB%A1%9C%2095%20%ED%99%A9%EA%B8%88%EB%8B%B9
노다지복권방,대전 동구 대전로 437,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EB%8F%99%EA%B5%AC%20%EB%8C%80%EC%A0%84%EB%A1%9C%20437
복드림,서울 영등포구 양평로 117,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EC%96%91%ED%8F%89%EB%A1%9C%20117
팡팡복권방,전북 익산시 인북로 99,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%9D%B5%EC%82%B0%EC%8B%9C%20%EC%9D%B8%EB%B6%81%EB%A1%9C%2099
국세청앞센타,부산 동구 조방로 43 하나은행 앞 가로판매점 1층(범일동),2,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%8F%99%EA%B5%AC%20%EC%A1%B0%EB%B0%A9%EB%A1%9C%2043%20%ED%95%98%EB%82%98%EC%9D%80%ED%96%89%20%EC%95%9E%20%EA%B0%80%EB%A1%9C%ED%8C%90%EB%A7%A4%EC%A0%90%201%EC%B8%B5%28%EB%B2%94%EC%9D%BC%EB%8F%99%29
진플러스안경,대전 중구 대종로 301-1,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EC%A4%91%EA%B5%AC%20%EB%8C%80%EC%A2%85%EB%A1%9C%20301-1
행운슈퍼 복권사는날,경기 부천시 경인로 148,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EB%B6%80%EC%B2%9C%EC%8B%9C%20%EA%B2%BD%EC%9D%B8%EB%A1%9C%20148
대박(토토),광주 북구 군왕로 196,2,https://www.google.com/maps/search/?api=1&query=%EA%B4%91%EC%A3%BC%20%EB%B6%81%EA%B5%AC%20%EA%B5%B0%EC%99%95%EB%A1%9C%20196
J마트,경남 진주시 도동천로 135-1 1층,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%A7%84%EC%A3%BC%EC%8B%9C%20%EB%8F%84%EB%8F%99%EC%B2%9C%EB%A1%9C%20135-1%201%EC%B8%B5
찬스복권방,인천 부평구 육동로 20-1 1층,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%B6%80%ED%8F%89%EA%B5%AC%20%EC%9C%A1%EB%8F%99%EB%A1%9C%2020-1%201%EC%B8%B5
돌하르방복권,제주 서귀포시 태평로353번길 9,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%ED%83%9C%ED%8F%89%EB%A1%9C353%EB%B2%88%EA%B8%B8%209
CU(군포덕산점),경기 군포시 당동 902 덕산상가1층,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B5%B0%ED%8F%AC%EC%8B%9C%20%EB%8B%B9%EB%8F%99%20902%20%EB%8D%95%EC%82%B0%EC%83%81%EA%B0%801%EC%B8%B5
행운복권방,충북 청주시 흥덕구 복대로 207,2,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%B2%AD%EC%A3%BC%EC%8B%9C%20%ED%9D%A5%EB%8D%95%EA%B5%AC%20%EB%B3%B5%EB%8C%80%EB%A1%9C%20207
정평복권,서울 양천구 목동중앙본로7길 30 101호,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%96%91%EC%B2%9C%EA%B5%AC%20%EB%AA%A9%EB%8F%99%EC%A4%91%EC%95%99%EB%B3%B8%EB%A1%9C7%EA%B8%B8%2030%20101%ED%98%B8
잉크와복권,서울 강서구 가로공원로76가길 12,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EA%B0%80%EB%A1%9C%EA%B3%B5%EC%9B%90%EB%A1%9C76%EA%B0%80%EA%B8%B8%2012
5가로또레드탑,서울 종로구 종로 222,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%A2%85%EB%A1%9C%20222
플러스로또,대구 달서구 월곡로45길 56,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8B%AC%EC%84%9C%EA%B5%AC%20%EC%9B%94%EA%B3%A1%EB%A1%9C45%EA%B8%B8%2056
미니스톱인천효성점,인천 계양구 안남로 551,2,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EA%B3%84%EC%96%91%EA%B5%AC%20%EC%95%88%EB%82%A8%EB%A1%9C%20551
인동상회,서울 노원구 한글비석로 396 벽산아파트상가108-116,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%ED%95%9C%EA%B8%80%EB%B9%84%EC%84%9D%EB%A1%9C%20396%20%EB%B2%BD%EC%82%B0%EC%95%84%ED%8C%8C%ED%8A%B8%EC%83%81%EA%B0%80108-116
제일복권,제주 제주시 서광로 257,2,https://www.google.com/maps/search/?api=1&query=%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%84%9C%EA%B4%91%EB%A1%9C%20257
씨유 대전원내점,대전 유성구 원내로 35,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EC%9C%A0%EC%84%B1%EA%B5%AC%20%EC%9B%90%EB%82%B4%EB%A1%9C%2035
메트로복권,경기 성남시 분당구 성남대로916번길 5 1층 112호,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%84%B1%EB%82%A8%EC%8B%9C%20%EB%B6%84%EB%8B%B9%EA%B5%AC%20%EC%84%B1%EB%82%A8%EB%8C%80%EB%A1%9C916%EB%B2%88%EA%B8%B8%205%201%EC%B8%B5%20112%ED%98%B8
대전하이퍼,대전 중구 보문산로 76,2,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EC%A4%91%EA%B5%AC%20%EB%B3%B4%EB%AC%B8%EC%82%B0%EB%A1%9C%2076
왔다복권,충남 천안시 서북구 서부16길 9,2,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EC%B2%9C%EC%95%88%EC%8B%9C%20%EC%84%9C%EB%B6%81%EA%B5%AC%20%EC%84%9C%EB%B6%8016%EA%B8%B8%209
디딤슈퍼,경기 부천시 도약로 279,2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EB%B6%80%EC%B2%9C%EC%8B%9C%20%EB%8F%84%EC%95%BD%EB%A1%9C%20279
공주복권방,충남 공주시 웅진로 210-2,2,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EA%B3%B5%EC%A3%BC%EC%8B%9C%20%EC%9B%85%EC%A7%84%EB%A1%9C%20210-2
삼성열쇠공사,서울 동작구 만양로 90-1,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%A7%8C%EC%96%91%EB%A1%9C%2090-1
통일복권방,서울 송파구 백제고분로7길 6,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EB%B0%B1%EC%A0%9C%EA%B3%A0%EB%B6%84%EB%A1%9C7%EA%B8%B8%206
가판점,서울 중구 퇴계로 123,2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A4%91%EA%B5%AC%20%ED%87%B4%EA%B3%84%EB%A1%9C%20123
