상호,주소,1등_배출횟수,구글맵링크
썬마트,충북 청주시 흥덕구 진재로23번길 25,12,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%B2%AD%EC%A3%BC%EC%8B%9C%20%ED%9D%A5%EB%8D%95%EA%B5%AC%20%EC%A7%84%EC%9E%AC%EB%A1%9C23%EB%B2%88%EA%B8%B8%2025
대박천하마트,인천 부평구 굴포로 48,12,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%B6%80%ED%8F%89%EA%B5%AC%20%EA%B5%B4%ED%8F%AC%EB%A1%9C%2048
북마산복권전문점,경남 창원시 마산합포구 북성로 98,11,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%B0%BD%EC%9B%90%EC%8B%9C%20%EB%A7%88%EC%82%B0%ED%95%A9%ED%8F%AC%EA%B5%AC%20%EB%B6%81%EC%84%B1%EB%A1%9C%2098
종합복권슈퍼,경기 시흥시 마유로 336 정일빌딩104,11,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%8B%9C%ED%9D%A5%EC%8B%9C%20%EB%A7%88%EC%9C%A0%EB%A1%9C%20336%20%EC%A0%95%EC%9D%BC%EB%B9%8C%EB%94%A9104
행운복권방 보생당건강원,전북 익산시 무왕로 1268,11,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%9D%B5%EC%82%B0%EC%8B%9C%20%EB%AC%B4%EC%99%95%EB%A1%9C%201268
복권명당(서부점),대구 달서구 월배로 452,11,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8B%AC%EC%84%9C%EA%B5%AC%20%EC%9B%94%EB%B0%B0%EB%A1%9C%20452
한꿈복권방,울산 중구 번영로 586,11,https://www.google.com/maps/search/?api=1&query=%EC%9A%B8%EC%82%B0%20%EC%A4%91%EA%B5%AC%20%EB%B2%88%EC%98%81%EB%A1%9C%20586
복권나라,서울 관악구 남부순환로 1739-9,11,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%82%A8%EB%B6%80%EC%88%9C%ED%99%98%EB%A1%9C%201739-9
천하명당복권방,경기 수원시 팔달구 매산로 2,11,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%ED%8C%94%EB%8B%AC%EA%B5%AC%20%EB%A7%A4%EC%82%B0%EB%A1%9C%202
라이프마트,인천 중구 연안부두로53번길 36 5호,11,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EC%A4%91%EA%B5%AC%20%EC%97%B0%EC%95%88%EB%B6%80%EB%91%90%EB%A1%9C53%EB%B2%88%EA%B8%B8%2036%205%ED%98%B8
노다지복권방,경기 용인시 처인구 금령로 130,11,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EC%B2%98%EC%9D%B8%EA%B5%AC%20%EA%B8%88%EB%A0%B9%EB%A1%9C%20130
올인(allin),경기 화성시 3.1만세로 1147,10,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%99%94%EC%84%B1%EC%8B%9C%203.1%EB%A7%8C%EC%84%B8%EB%A1%9C%201147
종합가판점,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽,10,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%99%95%EC%82%B0%EB%A1%9C40%EA%B8%B8%206%20%EA%B1%B4%EB%AC%BC%20%EC%95%9E%EC%AA%BD%20%EA%B0%80%ED%8C%90%EC%A0%90%20%EC%B2%AD%EB%9F%89%EB%A6%AC%EC%97%AD%205%EB%B2%88%EC%B6%9C%EA%B5%AC%20%EC%95%9E%EC%AA%BD
대박마트복권방,충남 아산시 음봉로 844 태화상가1층103호,10,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EC%95%84%EC%82%B0%EC%8B%9C%20%EC%9D%8C%EB%B4%89%EB%A1%9C%20844%20%ED%83%9C%ED%99%94%EC%83%81%EA%B0%801%EC%B8%B5103%ED%98%B8
명당골복권방,경기 수원시 권선구 동수원로242번길 15 104호,10,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EA%B6%8C%EC%84%A0%EA%B5%AC%20%EB%8F%99%EC%88%98%EC%9B%90%EB%A1%9C242%EB%B2%88%EA%B8%B8%2015%20104%ED%98%B8
또또복권방,전북 익산시 고봉로32길 3,10,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%9D%B5%EC%82%B0%EC%8B%9C%20%EA%B3%A0%EB%B4%89%EB%A1%9C32%EA%B8%B8%203
NG24,경북 칠곡군 북중리3길 59,10,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EB%B6%81%EC%A4%91%EB%A6%AC3%EA%B8%B8%2059
